deliveryDay,period,deliveryStart,deliveryEnd,price,priceWeightedAverage,priceAverage,lastPrice,minimalPrice,maximalPrice,successfulVolume,purchaseSuccessfulVolume,saleSuccessfulVolume
2025-03-02,1,2025-03-01T23:00:00Z,2025-03-02T00:00:00Z,127.3,127.3,127.36,131.69,123.2,134.65,71.9,32.3,39.6
2025-03-02,2,2025-03-02T00:00:00Z,2025-03-02T01:00:00Z,112.58,112.58,115.09,90.0,90.0,121.1,49.0,12.0,37.0
2025-03-02,3,2025-03-02T01:00:00Z,2025-03-02T02:00:00Z,105.62,105.62,106.38,102.71,102.3,111.1,79.0,18.0,61.0
2025-03-02,4,2025-03-02T02:00:00Z,2025-03-02T03:00:00Z,101.0,101.0,101.3,108.64,90.99,108.64,74.2,26.2,48.0
2025-03-02,5,2025-03-02T03:00:00Z,2025-03-02T04:00:00Z,95.19,95.19,99.43,97.6,79.5,103.58,84.4,33.2,51.2
2025-03-02,6,2025-03-02T04:00:00Z,2025-03-02T05:00:00Z,104.54,104.54,104.25,117.0,97.06,117.01,50.1,12.0,38.1
2025-03-02,7,2025-03-02T05:00:00Z,2025-03-02T06:00:00Z,108.76,108.76,109.37,112.48,104.7,120.21,60.7,2.0,58.7
2025-03-02,8,2025-03-02T06:00:00Z,2025-03-02T07:00:00Z,116.59,116.59,120.87,114.4,99.01,133.93,57.6,2.0,55.6
2025-03-02,9,2025-03-02T07:00:00Z,2025-03-02T08:00:00Z,107.32,107.32,103.97,100.0,70.0,123.92,83.3,40.2,43.1
2025-03-02,10,2025-03-02T08:00:00Z,2025-03-02T09:00:00Z,93.88,93.88,92.75,79.1,79.1,104.9,76.2,22.0,54.2
2025-03-02,11,2025-03-02T09:00:00Z,2025-03-02T10:00:00Z,62.73,62.73,55.72,25.0,25.0,77.62,205.8,21.1,184.7
2025-03-02,12,2025-03-02T10:00:00Z,2025-03-02T11:00:00Z,23.8,23.8,17.95,13.16,1.46,58.42,130.2,36.4,93.8
2025-03-02,13,2025-03-02T11:00:00Z,2025-03-02T12:00:00Z,6.24,6.24,1.23,0.0,-28.2,33.0,139.0,94.4,44.6
2025-03-02,14,2025-03-02T12:00:00Z,2025-03-02T13:00:00Z,-6.28,-6.28,-13.41,-22.89,-28.39,6.49,82.9,58.5,24.4
2025-03-02,15,2025-03-02T13:00:00Z,2025-03-02T14:00:00Z,0.84,0.84,-3.64,-18.69,-22.75,27.86,249.8,213.3,36.5
2025-03-02,16,2025-03-02T14:00:00Z,2025-03-02T15:00:00Z,-91.13,-91.13,-48.01,-60.01,-199.0,48.0,14.4,7.2,7.2
2025-03-02,17,2025-03-02T15:00:00Z,2025-03-02T16:00:00Z,-86.27,-86.27,-87.25,-100.0,-199.0,10.0,20.4,10.2,10.2
2025-03-02,18,2025-03-02T16:00:00Z,2025-03-02T17:00:00Z,-43.6,-43.6,-69.5,-199.0,-199.0,60.0,10.0,5.0,5.0
2025-03-02,19,2025-03-02T17:00:00Z,2025-03-02T18:00:00Z,-31.6,-31.6,-59.5,-199.0,-199.0,80.0,10.0,5.0,5.0
2025-03-02,20,2025-03-02T18:00:00Z,2025-03-02T19:00:00Z,-31.6,-31.6,-59.5,-199.0,-199.0,80.0,10.0,5.0,5.0
2025-03-02,21,2025-03-02T19:00:00Z,2025-03-02T20:00:00Z,103.15,103.15,84.68,74.5,59.0,122.01,74.0,36.7,37.3
2025-03-02,22,2025-03-02T20:00:00Z,2025-03-02T21:00:00Z,96.81,96.81,89.42,79.0,70.0,117.45,54.5,25.0,29.5
2025-03-02,23,2025-03-02T21:00:00Z,2025-03-02T22:00:00Z,116.1,116.1,111.02,124.67,80.0,124.67,48.3,32.3,16.0
2025-03-02,24,2025-03-02T22:00:00Z,2025-03-02T23:00:00Z,111.01,111.01,106.62,114.2,94.22,114.64,58.7,38.0,20.7
2025-03-03,1,2025-03-02T23:00:00Z,2025-03-03T00:00:00Z,120.94,120.94,120.83,128.88,115.1,128.88,53.4,33.0,20.4
2025-03-03,2,2025-03-03T00:00:00Z,2025-03-03T01:00:00Z,110.82,110.82,112.67,117.0,108.4,119.24,45.2,23.0,22.2
2025-03-03,3,2025-03-03T01:00:00Z,2025-03-03T02:00:00Z,109.34,109.34,107.88,100.0,100.0,116.0,57.1,28.0,29.1
2025-03-03,4,2025-03-03T02:00:00Z,2025-03-03T03:00:00Z,101.82,101.82,103.02,102.1,95.0,106.0,63.1,28.0,35.1
2025-03-03,5,2025-03-03T03:00:00Z,2025-03-03T04:00:00Z,107.62,107.62,107.62,110.02,104.2,119.34,62.5,33.7,28.8
2025-03-03,6,2025-03-03T04:00:00Z,2025-03-03T05:00:00Z,121.9,121.9,120.87,118.61,104.79,131.43,56.5,29.0,27.5
2025-03-03,7,2025-03-03T05:00:00Z,2025-03-03T06:00:00Z,141.32,141.32,140.06,78.31,78.31,151.11,454.7,126.6,328.1
2025-03-03,8,2025-03-03T06:00:00Z,2025-03-03T07:00:00Z,177.36,177.36,176.68,174.0,169.18,187.0,659.4,266.8,392.6
2025-03-03,9,2025-03-03T07:00:00Z,2025-03-03T08:00:00Z,154.04,154.04,149.79,130.0,120.0,194.99,241.4,90.9,150.5
2025-03-03,10,2025-03-03T08:00:00Z,2025-03-03T09:00:00Z,99.58,99.58,97.36,77.4,70.0,119.39,136.7,35.4,101.3
2025-03-03,11,2025-03-03T09:00:00Z,2025-03-03T10:00:00Z,43.76,43.76,42.15,20.0,20.0,65.0,157.3,39.7,117.6
2025-03-03,12,2025-03-03T10:00:00Z,2025-03-03T11:00:00Z,27.89,27.89,26.22,6.71,4.69,75.89,324.3,249.2,75.1
2025-03-03,13,2025-03-03T11:00:00Z,2025-03-03T12:00:00Z,14.09,14.09,12.3,0.0,0.0,72.39,317.9,241.3,76.6
2025-03-03,14,2025-03-03T12:00:00Z,2025-03-03T13:00:00Z,32.39,32.39,25.02,14.0,-0.97,62.88,451.6,286.4,165.2
2025-03-03,15,2025-03-03T13:00:00Z,2025-03-03T14:00:00Z,44.13,44.13,41.38,69.9,31.0,93.11,164.3,40.1,124.2
2025-03-03,16,2025-03-03T14:00:00Z,2025-03-03T15:00:00Z,80.5,80.5,77.88,76.0,61.6,131.29,187.4,65.5,121.9
2025-03-03,17,2025-03-03T15:00:00Z,2025-03-03T16:00:00Z,111.98,111.98,112.34,100.99,99.45,166.22,202.6,122.4,80.2
2025-03-03,18,2025-03-03T16:00:00Z,2025-03-03T17:00:00Z,118.91,118.91,120.74,45.0,45.0,154.32,134.8,67.4,67.4
2025-03-03,19,2025-03-03T17:00:00Z,2025-03-03T18:00:00Z,149.17,149.17,133.62,80.0,80.0,196.44,112.5,56.5,56.0
2025-03-03,20,2025-03-03T18:00:00Z,2025-03-03T19:00:00Z,127.28,127.28,124.85,115.07,90.0,178.23,199.0,99.5,99.5
2025-03-03,21,2025-03-03T19:00:00Z,2025-03-03T20:00:00Z,125.71,125.71,125.15,134.99,80.0,152.4,180.3,90.4,89.9
2025-03-03,22,2025-03-03T20:00:00Z,2025-03-03T21:00:00Z,118.44,118.44,117.96,130.09,85.6,202.55,148.2,85.0,63.2
2025-03-03,23,2025-03-03T21:00:00Z,2025-03-03T22:00:00Z,136.5,136.5,137.88,112.69,112.69,171.0,225.9,108.2,117.7
2025-03-03,24,2025-03-03T22:00:00Z,2025-03-03T23:00:00Z,127.7,127.7,123.92,132.96,110.0,150.0,168.9,78.4,90.5
2025-03-04,1,2025-03-03T23:00:00Z,2025-03-04T00:00:00Z,128.41,128.41,130.8,142.0,125.01,142.0,13.9,0.0,13.9
2025-03-04,2,2025-03-04T00:00:00Z,2025-03-04T01:00:00Z,125.73,125.73,132.72,137.0,117.5,140.0,17.6,4.6,13.0
2025-03-04,3,2025-03-04T01:00:00Z,2025-03-04T02:00:00Z,116.26,116.26,115.3,114.98,107.01,121.1,19.4,11.2,8.2
2025-03-04,4,2025-03-04T02:00:00Z,2025-03-04T03:00:00Z,117.89,117.89,120.75,120.0,109.39,125.06,18.0,11.0,7.0
2025-03-04,5,2025-03-04T03:00:00Z,2025-03-04T04:00:00Z,134.72,134.72,142.76,144.92,127.81,199.96,41.1,40.5,0.6
2025-03-04,6,2025-03-04T04:00:00Z,2025-03-04T05:00:00Z,151.01,151.01,155.61,134.61,134.61,221.32,43.9,43.2,0.7
2025-03-04,7,2025-03-04T05:00:00Z,2025-03-04T06:00:00Z,176.33,176.33,184.24,197.11,150.0,220.43,52.6,33.9,18.7
2025-03-04,8,2025-03-04T06:00:00Z,2025-03-04T07:00:00Z,200.96,200.96,197.01,230.0,175.06,250.01,83.9,24.8,59.1
2025-03-04,9,2025-03-04T07:00:00Z,2025-03-04T08:00:00Z,125.85,125.85,126.08,134.0,109.44,153.29,59.0,32.9,26.1
2025-03-04,10,2025-03-04T08:00:00Z,2025-03-04T09:00:00Z,91.57,91.57,88.78,69.8,69.8,129.32,219.8,104.0,115.8
2025-03-04,11,2025-03-04T09:00:00Z,2025-03-04T10:00:00Z,56.63,56.63,53.92,50.0,28.8,112.34,99.3,51.2,48.1
2025-03-04,12,2025-03-04T10:00:00Z,2025-03-04T11:00:00Z,20.75,20.75,19.98,10.0,10.0,83.23,191.3,130.0,61.3
2025-03-04,13,2025-03-04T11:00:00Z,2025-03-04T12:00:00Z,8.71,8.71,8.22,-12.0,-12.0,50.67,259.6,162.2,97.4
2025-03-04,14,2025-03-04T12:00:00Z,2025-03-04T13:00:00Z,11.73,11.73,12.1,5.48,2.97,44.23,192.1,106.1,86.0
2025-03-04,15,2025-03-04T13:00:00Z,2025-03-04T14:00:00Z,48.89,48.89,48.19,40.0,28.7,86.32,207.6,60.7,146.9
2025-03-04,16,2025-03-04T14:00:00Z,2025-03-04T15:00:00Z,88.19,88.19,89.01,95.8,70.0,132.23,195.6,55.9,139.7
2025-03-04,17,2025-03-04T15:00:00Z,2025-03-04T16:00:00Z,113.55,113.55,110.94,99.02,84.81,208.43,119.6,71.1,48.5
2025-03-04,18,2025-03-04T16:00:00Z,2025-03-04T17:00:00Z,135.39,135.39,135.44,136.98,119.7,144.01,194.6,46.1,148.5
2025-03-04,19,2025-03-04T17:00:00Z,2025-03-04T18:00:00Z,158.55,158.55,158.42,150.0,131.0,182.32,208.8,68.8,140.0
2025-03-04,20,2025-03-04T18:00:00Z,2025-03-04T19:00:00Z,133.75,133.75,135.49,132.0,125.01,155.15,94.7,20.1,74.6
2025-03-04,21,2025-03-04T19:00:00Z,2025-03-04T20:00:00Z,134.68,134.68,138.6,132.0,111.03,187.55,76.4,42.2,34.2
2025-03-04,22,2025-03-04T20:00:00Z,2025-03-04T21:00:00Z,159.07,159.07,164.48,160.2,147.77,199.88,78.9,57.2,21.7
2025-03-04,23,2025-03-04T21:00:00Z,2025-03-04T22:00:00Z,148.57,148.57,151.61,150.0,136.43,180.97,136.1,70.0,66.1
2025-03-04,24,2025-03-04T22:00:00Z,2025-03-04T23:00:00Z,139.87,139.87,141.08,148.34,130.0,153.37,65.7,39.7,26.0
2025-03-05,1,2025-03-04T23:00:00Z,2025-03-05T00:00:00Z,172.84,172.84,172.46,169.0,160.47,183.5,113.1,7.0,106.1
2025-03-05,2,2025-03-05T00:00:00Z,2025-03-05T01:00:00Z,153.91,153.91,154.43,135.6,135.6,162.57,45.0,22.9,22.1
2025-03-05,3,2025-03-05T01:00:00Z,2025-03-05T02:00:00Z,132.75,132.75,134.48,140.0,125.01,143.36,44.0,22.0,22.0
2025-03-05,4,2025-03-05T02:00:00Z,2025-03-05T03:00:00Z,142.09,142.09,139.57,146.0,125.01,146.51,40.7,18.7,22.0
2025-03-05,5,2025-03-05T03:00:00Z,2025-03-05T04:00:00Z,164.8,164.8,170.64,248.73,139.12,248.73,116.3,54.5,61.8
2025-03-05,6,2025-03-05T04:00:00Z,2025-03-05T05:00:00Z,206.01,206.01,210.23,300.0,155.0,304.43,169.3,33.4,135.9
2025-03-05,7,2025-03-05T05:00:00Z,2025-03-05T06:00:00Z,197.03,197.03,199.77,232.0,104.07,236.0,91.8,36.7,55.1
2025-03-05,8,2025-03-05T06:00:00Z,2025-03-05T07:00:00Z,229.4,229.4,242.6,222.2,152.25,370.0,208.2,12.1,196.1
2025-03-05,9,2025-03-05T07:00:00Z,2025-03-05T08:00:00Z,126.0,126.0,125.84,116.54,109.96,149.99,53.5,21.7,31.8
2025-03-05,10,2025-03-05T08:00:00Z,2025-03-05T09:00:00Z,69.72,69.72,69.9,52.01,52.01,96.05,56.0,34.1,21.9
2025-03-05,11,2025-03-05T09:00:00Z,2025-03-05T10:00:00Z,15.68,15.68,16.06,18.2,-2.0,31.77,111.7,45.0,66.7
2025-03-05,12,2025-03-05T10:00:00Z,2025-03-05T11:00:00Z,1.8,1.8,1.19,9.08,-5.0,23.45,132.6,77.9,54.7
2025-03-05,13,2025-03-05T11:00:00Z,2025-03-05T12:00:00Z,3.38,3.38,2.43,70.0,-4.86,70.0,160.9,104.1,56.8
2025-03-05,14,2025-03-05T12:00:00Z,2025-03-05T13:00:00Z,0.34,0.34,0.93,8.93,-5.0,8.93,163.7,113.0,50.7
2025-03-05,15,2025-03-05T13:00:00Z,2025-03-05T14:00:00Z,8.78,8.78,8.27,2.5,2.5,15.11,134.6,69.5,65.1
2025-03-05,16,2025-03-05T14:00:00Z,2025-03-05T15:00:00Z,79.98,79.98,80.97,111.96,50.01,111.96,191.5,107.9,83.6
2025-03-05,17,2025-03-05T15:00:00Z,2025-03-05T16:00:00Z,123.53,123.53,124.08,148.9,78.0,175.56,111.9,66.7,45.2
2025-03-05,18,2025-03-05T16:00:00Z,2025-03-05T17:00:00Z,149.95,149.95,149.27,143.0,122.94,177.7,114.4,55.7,58.7
2025-03-05,19,2025-03-05T17:00:00Z,2025-03-05T18:00:00Z,149.27,149.27,152.64,134.0,110.0,185.0,132.5,35.1,97.4
2025-03-05,20,2025-03-05T18:00:00Z,2025-03-05T19:00:00Z,143.68,143.68,142.88,133.38,125.0,198.44,215.4,24.6,190.8
2025-03-05,21,2025-03-05T19:00:00Z,2025-03-05T20:00:00Z,134.54,134.54,142.96,110.0,110.0,202.32,115.5,46.9,68.6
2025-03-05,22,2025-03-05T20:00:00Z,2025-03-05T21:00:00Z,138.06,138.06,147.27,130.0,62.05,202.18,113.7,66.3,47.4
2025-03-05,23,2025-03-05T21:00:00Z,2025-03-05T22:00:00Z,102.48,102.48,103.34,115.0,90.0,123.0,155.1,91.3,63.8
2025-03-05,24,2025-03-05T22:00:00Z,2025-03-05T23:00:00Z,129.19,129.19,127.38,104.35,104.35,140.01,99.5,66.5,33.0
2025-03-06,1,2025-03-05T23:00:00Z,2025-03-06T00:00:00Z,128.6,128.6,122.89,102.61,95.08,155.0,26.2,13.0,13.2
2025-03-06,2,2025-03-06T00:00:00Z,2025-03-06T01:00:00Z,110.5,110.5,110.42,104.01,101.43,120.0,52.2,18.0,34.2
2025-03-06,3,2025-03-06T01:00:00Z,2025-03-06T02:00:00Z,103.6,103.6,102.72,105.0,89.51,107.87,39.0,19.2,19.8
2025-03-06,4,2025-03-06T02:00:00Z,2025-03-06T03:00:00Z,105.72,105.72,104.38,109.44,97.01,111.0,55.9,18.0,37.9
2025-03-06,5,2025-03-06T03:00:00Z,2025-03-06T04:00:00Z,119.91,119.91,121.15,111.98,111.11,140.22,46.1,9.9,36.2
2025-03-06,6,2025-03-06T04:00:00Z,2025-03-06T05:00:00Z,85.95,85.95,101.23,80.0,80.0,188.29,30.4,16.7,13.7
2025-03-06,7,2025-03-06T05:00:00Z,2025-03-06T06:00:00Z,83.64,83.64,104.32,30.0,30.0,160.0,28.2,14.1,14.1
2025-03-06,8,2025-03-06T06:00:00Z,2025-03-06T07:00:00Z,146.58,146.58,147.85,157.72,141.0,164.21,215.5,19.6,195.9
2025-03-06,9,2025-03-06T07:00:00Z,2025-03-06T08:00:00Z,102.34,102.34,100.79,92.0,79.99,121.22,107.1,46.3,60.8
2025-03-06,10,2025-03-06T08:00:00Z,2025-03-06T09:00:00Z,70.18,70.18,71.07,62.0,60.02,89.23,154.4,66.8,87.6
2025-03-06,11,2025-03-06T09:00:00Z,2025-03-06T10:00:00Z,28.24,28.24,27.72,40.0,3.67,72.16,142.0,71.0,71.0
2025-03-06,12,2025-03-06T10:00:00Z,2025-03-06T11:00:00Z,3.24,3.24,4.65,10.49,-4.52,10.49,135.4,85.2,50.2
2025-03-06,13,2025-03-06T11:00:00Z,2025-03-06T12:00:00Z,1.66,1.66,2.39,6.91,-5.76,74.63,163.1,83.6,79.5
2025-03-06,14,2025-03-06T12:00:00Z,2025-03-06T13:00:00Z,0.72,0.72,0.78,-8.7,-8.99,70.05,107.2,57.9,49.3
2025-03-06,15,2025-03-06T13:00:00Z,2025-03-06T14:00:00Z,14.45,14.45,13.6,15.59,6.92,21.96,138.8,68.4,70.4
2025-03-06,16,2025-03-06T14:00:00Z,2025-03-06T15:00:00Z,69.41,69.41,68.03,35.02,35.02,81.23,67.1,19.2,47.9
2025-03-06,17,2025-03-06T15:00:00Z,2025-03-06T16:00:00Z,107.32,107.32,106.34,94.0,65.0,130.29,342.4,49.2,293.2
2025-03-06,18,2025-03-06T16:00:00Z,2025-03-06T17:00:00Z,131.37,131.37,129.7,100.0,97.99,148.92,261.4,42.2,219.2
2025-03-06,19,2025-03-06T17:00:00Z,2025-03-06T18:00:00Z,103.12,103.12,107.75,99.99,99.99,135.12,90.2,45.1,45.1
2025-03-06,20,2025-03-06T18:00:00Z,2025-03-06T19:00:00Z,98.24,98.24,101.15,85.0,85.0,130.0,26.3,13.1,13.2
2025-03-06,21,2025-03-06T19:00:00Z,2025-03-06T20:00:00Z,94.38,94.38,94.71,80.5,80.0,118.94,27.1,14.5,12.6
2025-03-06,22,2025-03-06T20:00:00Z,2025-03-06T21:00:00Z,91.89,91.89,100.14,61.38,61.38,155.29,39.7,20.7,19.0
2025-03-06,23,2025-03-06T21:00:00Z,2025-03-06T22:00:00Z,82.97,82.97,80.62,60.0,60.0,97.99,23.7,12.1,11.6
2025-03-06,24,2025-03-06T22:00:00Z,2025-03-06T23:00:00Z,104.07,104.07,103.83,119.81,86.09,130.0,92.1,50.8,41.3
2025-03-07,1,2025-03-06T23:00:00Z,2025-03-07T00:00:00Z,91.26,91.26,80.35,89.99,35.51,95.0,37.1,18.2,18.9
2025-03-07,2,2025-03-07T00:00:00Z,2025-03-07T01:00:00Z,93.38,93.38,87.09,98.0,64.97,98.57,35.1,17.0,18.1
2025-03-07,3,2025-03-07T01:00:00Z,2025-03-07T02:00:00Z,121.03,121.03,116.16,124.99,96.95,179.18,71.0,29.9,41.1
2025-03-07,4,2025-03-07T02:00:00Z,2025-03-07T03:00:00Z,101.31,101.31,104.02,81.77,81.77,132.84,40.5,17.2,23.3
2025-03-07,5,2025-03-07T03:00:00Z,2025-03-07T04:00:00Z,119.02,119.02,119.92,97.0,97.0,126.38,73.5,13.6,59.9
2025-03-07,6,2025-03-07T04:00:00Z,2025-03-07T05:00:00Z,138.36,138.36,138.52,130.0,121.34,150.0,70.0,14.6,55.4
2025-03-07,7,2025-03-07T05:00:00Z,2025-03-07T06:00:00Z,209.39,209.39,213.41,530.0,166.22,531.6,131.7,9.1,122.6
2025-03-07,8,2025-03-07T06:00:00Z,2025-03-07T07:00:00Z,186.9,186.9,205.35,204.42,163.01,390.65,121.6,23.2,98.4
2025-03-07,9,2025-03-07T07:00:00Z,2025-03-07T08:00:00Z,193.5,193.5,206.11,196.73,134.29,342.5,84.0,32.9,51.1
2025-03-07,10,2025-03-07T08:00:00Z,2025-03-07T09:00:00Z,83.14,83.14,84.08,89.99,48.41,102.75,209.7,81.0,128.7
2025-03-07,11,2025-03-07T09:00:00Z,2025-03-07T10:00:00Z,56.56,56.56,54.5,30.0,30.0,78.21,133.9,70.0,63.9
2025-03-07,12,2025-03-07T10:00:00Z,2025-03-07T11:00:00Z,29.35,29.35,27.27,7.72,7.16,43.29,196.2,116.3,79.9
2025-03-07,13,2025-03-07T11:00:00Z,2025-03-07T12:00:00Z,20.11,20.11,20.43,33.92,8.01,33.92,264.1,151.3,112.8
2025-03-07,14,2025-03-07T12:00:00Z,2025-03-07T13:00:00Z,14.88,14.88,13.95,11.74,7.58,19.0,122.6,89.1,33.5
2025-03-07,15,2025-03-07T13:00:00Z,2025-03-07T14:00:00Z,54.9,54.9,54.79,60.0,38.21,74.99,143.7,90.4,53.3
2025-03-07,16,2025-03-07T14:00:00Z,2025-03-07T15:00:00Z,93.54,93.54,91.81,99.0,79.51,104.27,72.9,28.7,44.2
2025-03-07,17,2025-03-07T15:00:00Z,2025-03-07T16:00:00Z,153.19,153.19,154.09,150.97,120.0,185.2,98.3,58.9,39.4
2025-03-07,18,2025-03-07T16:00:00Z,2025-03-07T17:00:00Z,143.4,143.4,149.05,115.0,110.02,180.0,117.5,53.8,63.7
2025-03-07,19,2025-03-07T17:00:00Z,2025-03-07T18:00:00Z,182.84,182.84,182.62,120.0,120.0,225.38,138.2,68.6,69.6
2025-03-07,20,2025-03-07T18:00:00Z,2025-03-07T19:00:00Z,148.7,148.7,150.85,100.0,100.0,200.07,127.2,63.6,63.6
2025-03-07,21,2025-03-07T19:00:00Z,2025-03-07T20:00:00Z,141.96,141.96,137.58,115.0,87.99,169.22,130.4,45.1,85.3
2025-03-07,22,2025-03-07T20:00:00Z,2025-03-07T21:00:00Z,135.61,135.61,124.59,100.0,80.0,160.1,138.3,39.8,98.5
2025-03-07,23,2025-03-07T21:00:00Z,2025-03-07T22:00:00Z,137.04,137.04,135.07,135.59,124.7,150.0,184.0,27.1,156.9
2025-03-07,24,2025-03-07T22:00:00Z,2025-03-07T23:00:00Z,121.75,121.75,120.39,118.34,100.06,135.11,123.5,4.6,118.9
2025-03-08,1,2025-03-07T23:00:00Z,2025-03-08T00:00:00Z,120.84,120.84,119.8,116.19,115.4,135.21,19.5,5.5,14.0
2025-03-08,2,2025-03-08T00:00:00Z,2025-03-08T01:00:00Z,115.5,115.5,113.49,109.32,109.32,125.37,14.6,5.5,9.1
2025-03-08,3,2025-03-08T01:00:00Z,2025-03-08T02:00:00Z,112.61,112.61,110.03,106.5,102.73,130.11,29.9,17.0,12.9
2025-03-08,4,2025-03-08T02:00:00Z,2025-03-08T03:00:00Z,111.57,111.57,110.27,109.0,98.51,130.28,29.5,15.5,14.0
2025-03-08,5,2025-03-08T03:00:00Z,2025-03-08T04:00:00Z,111.92,111.92,111.34,107.09,103.0,131.11,49.7,15.7,34.0
2025-03-08,6,2025-03-08T04:00:00Z,2025-03-08T05:00:00Z,114.84,114.84,113.69,114.9,110.0,134.12,63.6,17.8,45.8
2025-03-08,7,2025-03-08T05:00:00Z,2025-03-08T06:00:00Z,124.38,124.38,123.63,133.28,112.72,140.22,47.5,13.0,34.5
2025-03-08,8,2025-03-08T06:00:00Z,2025-03-08T07:00:00Z,118.63,118.63,120.01,119.48,108.6,132.11,59.5,22.9,36.6
2025-03-08,9,2025-03-08T07:00:00Z,2025-03-08T08:00:00Z,95.73,95.73,94.89,90.32,89.52,108.98,52.0,19.5,32.5
2025-03-08,10,2025-03-08T08:00:00Z,2025-03-08T09:00:00Z,60.82,60.82,56.53,53.72,49.0,83.29,69.0,40.5,28.5
2025-03-08,11,2025-03-08T09:00:00Z,2025-03-08T10:00:00Z,8.28,8.28,5.22,2.11,-2.8,22.38,76.0,47.5,28.5
2025-03-08,12,2025-03-08T10:00:00Z,2025-03-08T11:00:00Z,-3.39,-3.39,-2.81,1.6,-8.41,4.54,129.6,95.2,34.4
2025-03-08,13,2025-03-08T11:00:00Z,2025-03-08T12:00:00Z,-6.58,-6.58,-7.57,-0.02,-18.43,2.18,123.6,76.9,46.7
2025-03-08,14,2025-03-08T12:00:00Z,2025-03-08T13:00:00Z,-9.14,-9.14,-10.38,-3.02,-20.16,3.11,107.6,44.9,62.7
2025-03-08,15,2025-03-08T13:00:00Z,2025-03-08T14:00:00Z,-4.34,-4.34,-4.83,-7.64,-7.64,3.19,100.8,64.9,35.9
